Journal,Language,URL,SearchPrefix
Avian Conservation & Ecology,fr,https://www.ace-eco.org,ACE-ECO
Avian Research,en,https://avianres.biomedcentral.com,AvianRes
Bird Conservation International,en,https://cambridge.org/core/journals/bird-conservation-international,BirdConservationInternational
Bird Study,en,https://www.tandfonline.com/toc/tbis20/current,BirdStudyEmu
Emu - Austral Ornithology,en,https://www.tandfonline.com/toc/temu20/current,BirdStudyEmu
Journal of Ornithology,en,https://www.springer.com/journal/10336,JournalOrnithology
Ornitología Colombiana,es,https://asociacioncolombianadeornitologia.org/revista-ornitologia-colombiana/,OrnitologíaColombiana
Ornitologia Neotropica,es,https://journals.sfu.ca/ornneo/index.php/ornneo/issue/archive,Orn-Neotropica
Ostrich - Journal of African Ornithology,en,https://www.nisc.co.za/products/11/journals/ostrich-journal-of-african-ornithology,Ostrich
PLOS One,en,https://journals.plos.org/plosone/browse/,PLOS
