genus,lc_count,vu_count
abeillia,1,0
abroscopus,3,0
aburria,0,1
acanthagenys,1,0
acanthidops,0,1
acanthis,1,0
acanthisitta,1,0
acanthiza,14,0
acanthoptila,1,0
acanthorhynchus,2,0
acanthornis,1,0
accipiter,35,13
aceros,0,1
achaetops,1,0
acridotheres,8,3
acritillas,1,0
acrobatornis,0,1
acrocephalus,24,18
acropternis,1,0
acryllium,1,0
actenoides,1,8
actinodura,3,1
actitis,2,0
actophilornis,1,1
adelomyia,1,0
aechmophorus,2,0
aegithalos,10,0
aegithina,3,1
aegolius,5,0
aegotheles,7,3
aegypius,0,1
aepypodius,1,1
aerodramus,15,8
aeronautes,3,0
aethia,4,0
aethopyga,19,2
afropavo,0,1
afrotis,1,1
agamia,0,1
agapornis,6,3
agelaioides,2,0
agelaius,3,2
agelastes,1,1
agelasticus,3,0
aglaeactis,2,2
aglaiocercus,2,1
agraphospiza,1,0
agricola,2,0
agriornis,4,1
agropsar,2,0
ailuroedus,3,0
aimophila,3,0
aix,2,0
akialoa,4,0
akletos,2,0
alaemon,2,0
alauda,3,1
alaudala,3,0
alca,1,0
alcedo,5,3
alcippe,6,1
alcurus,1,0
aleadryas,1,0
alectoris,5,2
alectroenas,4,1
alectrurus,0,2
alectura,1,0
alethe,2,0
alexandrinus,2,1
alipiopsitta,0,1
alisterus,3,0
alle,1,0
allenia,1,0
alopecoenas,5,8
alophoixus,7,2
alopochelidon,1,0
alopochen,3,0
amadina,2,0
amalocichla,2,0
amandava,2,1
amaurocichla,0,1
amaurolimnas,1,0
amaurornis,6,1
amaurospiza,2,0
amazilia,39,5
amazona,9,27
amazonetta,1,0
amblycercus,1,0
amblyornis,4,0
amblyospiza,1,0
amblyramphus,1,0
ammodramus,3,0
ammomanes,3,0
ammomanopsis,1,0
ammonastes,1,0
ammoperdix,2,0
ammospiza,3,1
ampeliceps,1,0
ampelioides,1,0
ampelion,2,0
ampelornis,0,1
amphispiza,2,0
amytornis,7,4
anabacerthia,4,1
anabathmis,3,0
anabazenops,2,0
anairetes,4,2
anaplectes,3,0
anarhynchus,0,1
anas,21,11
anastomus,2,0
ancistrops,1,0
andigena,2,2
androdon,1,0
andropadus,1,0
androphobus,1,0
anhima,1,0
anhinga,3,1
anisognathus,7,0
anodorhynchus,0,3
anomalospiza,1,0
anopetia,1,0
anorrhinus,0,3
anous,5,0
anser,7,2
anseranas,1,0
anthipes,2,0
anthobaphes,1,0
anthocephala,0,2
anthochaera,4,1
anthornis,2,0
anthoscopus,7,0
anthracoceros,1,4
anthracothorax,8,0
anthreptes,12,3
anthropoides,1,1
anthus,35,6
antilophia,1,1
antrostomus,9,3
anumara,0,1
anumbius,1,0
anurophasis,0,1
apalharpactes,1,1
apalis,19,6
apaloderma,3,0
apalopteron,0,1
aphanapteryx,1,0
aphanotriccus,0,2
aphantochroa,1,0
aphelocephala,2,1
aphelocoma,4,1
aphrastura,1,1
aphrodroma,1,0
aplonis,16,9
aplopelia,1,0
aprositornis,1,0
aprosmictus,1,1
aptenodytes,1,1
apteryx,0,5
apus,15,2
aquila,6,5
ara,5,4
arachnothera,12,0
aramides,7,1
aramidopsis,0,1
aramus,1,0
aratinga,4,2
arborophila,11,7
arcanator,0,1
archboldia,0,1
archilochus,2,0
ardea,12,3
ardenna,3,4
ardeola,5,1
ardeotis,1,2
arenaria,2,0
argusianus,0,1
argya,13,2
arizelocichla,8,1
arremon,17,5
arremonops,4,0
arses,4,0
artamella,1,0
artamus,11,0
artemisiospiza,2,0
artisornis,1,2
arundinax,1,0
arundinicola,1,0
asarcornis,0,1
