"","sisrecid","name_sci","ndoc"
"1",22679246,"Lophura hoogerwerfi",1
"2",22681262,"Colaptes rivolii",2
"3",22681353,"Celeus torquatus",1
"4",22682283,"Malacoptila striata",1
"5",22682819,"Trogon violaceus",1
"6",22683144,"Ceyx rufidorsa",1
"7",22684116,"Phaenicophaeus curvirostris",1
"8",22684976,"Prioniturus discurus",1
"9",22686958,"Phaethornis bourcieri",4
"10",22687222,"Lophornis chalybeus",1
"11",22687621,"Amazilia viridifrons",1
"12",22687728,"Heliodoxa schreibersii",2
"13",22688039,"Oxypogon guerinii",1
"14",22695079,"Milvus migrans",2
"15",22698255,"Puffinus lherminieri",3
"16",22698620,"Pitta guajana",2
"17",22699443,"Pseudocolopteryx flaviventris",4
"18",22700233,"Knipolegus signatus",1
"19",22700651,"Pachyramphus major",1
"20",22701372,"Thamnistes anabatinus",1
"21",22701586,"Herpsilochmus rufimarginatus",2
"22",22701789,"Poliocrania exsul",1
"23",22702357,"Synallaxis albilora",1
"24",22702384,"Synallaxis stictothorax",1
"25",22703143,"Xiphorhynchus erythropygius",1
"26",22706002,"Corvus palmarum",1
"27",22708651,"Catharus dryas",1
"28",22709461,"Eumyias indigo",1
"29",22712713,"Pycnonotus bimaculatus",1
"30",22714040,"Zosterops salvadorii",1
"31",22714088,"Zosterops citrinella",1
"32",22717578,"Dicaeum sanguinolentum",1
"33",22718260,"Passer simplex",1
"34",22721857,"Geothlypis aequinoctialis",1
"35",22722860,"Tangara parzudakii",1
"36",22722906,"Tangara ruficervix",1
"37",22722933,"Tangara vassorii",3
"38",22723015,"Xenodacnis parina",3
"39",22723512,"Sporophila telasco",2
"40",22723517,"Sporophila insulata",1
"41",22724037,"Cacicus uropygialis",1
"42",22727317,"Ortalis squamata",1
"43",22728686,"Ara guadeloupensis",1
"44",22729661,"Calonectris diomedea",3
"45",22730473,"Phyllomyias virescens",1
"46",22730488,"Knipolegus aterrimus",1
"47",22731128,"Nectarinia sovimanga",1
"48",22731284,"Cacicus chrysonotus",1
"49",22731617,"Phaethornis margarettae",1
"50",22731833,"Rhynchocyclus brevirostris",1
"51",22732206,"Locustella montis",1
"52",22732510,"Motacilla personata",1
"53",22734021,"Heliangelus amethysticollis",2
"54",22734926,"Nisaetus limnaeetus",1
"55",22735864,"Buteo bannermani",1
