date,link,link_name,snippet,language,title,abstract,pdf_link,domain,search_term,query_date,BADLINK,DONEPDF,GOTTEXT,GOTSCORE,GOTSPECIES,score,species,daysago
2021-02-19,https://link.springer.com/article/10.1007/s10344-021-01459-5,Bird and small mammal community composition and abundance in upland ...,"In a study of bird species richness in pre-thicket plantation forests and open moorland in Scotland, Calladine et al. ... Field methods and techniques for monitoring mammals. In: Eymann J, Degreef J, Häuser C, Monje JC, Samyn Y, VandenSpiegel D (eds) Manual on field recording techniques and protocols for all taxa biodiversity inventories, 8:482-529 . Irwin S, Wilson M, O’Donoghue B, O ...",en,Bird and small mammal community composition and abundance in upland open habitats and early conifer forests,"Anthropogenic land-use change, such as commercial afforestation, is a significant driver of shifts in ecological communities and species abundance. In this study, the consequences of afforestation of upland habitats for two distinct animal groups, birds and small mammals, were examined by comparing open moorland, early pre-thicket conifer forests (2–4 years post-replanting) and late pre-thicket conifer forests (6–8 years post-replanting) across 24 upland study sites in Ireland. Field data were collected using bird point counts, live trapping of small mammals and detailed vegetation surveys. A total of 17 bird species and four small mammal species were detected. Both groups showed contrasting patterns of abundance between moorland and pre-thicket forests, with bird density being higher in moorland, while small mammal abundance was higher in pre-thicket forests. Bird diversity was lowest in moorland and highest in late pre-thicket forests, while small mammal diversity was highest in moorland and lowest in late pre-thicket forests. Our study shows that afforestation can alter the abundance and community composition of bird and small mammal populations and that the consequences of land-use change associated with afforestation in upland areas vary across different taxa. Our findings have important implications for forest management practices and conservation of upland habitats and species.",https://link.springer.com/content/pdf/10.1007/s10344-021-01459-5.pdf,link.springer.com,monje,2022-04-12,0,0,1,1,1,-4.72664050387417,,425
2019-05-06,https://www.nature.com/articles/s41559-019-0889-z/,Distance to range edge determines sensitivity to ...,"One species, Picumnus albosquamatus, had to be excluded from analyses due to issues related to range accuracy and taxonomy, so further analyses were conducted on 378 species. Species taxonomy was...",en,Distance to range edge determines sensitivity to deforestation,"It is generally assumed that deforestation affects a species consistently across space, however populations near their geographic range edge may exist at their niche limits and therefore be more sensitive to disturbance. We found that both within and across Atlantic Forest bird species, populations are more sensitive to deforestation when near their range edge. In fact, the negative effects of deforestation on bird occurrences switched to positive in the range core (&gt;829 km), in line with Ellenberg’s rule. We show that the proportion of populations at their range core and edge varies across Brazil, suggesting deforestation effects on communities, and hence the most appropriate conservation action, also vary geographically. Analysing responses of 378 bird species to deforestation in the Brazilian Atlantic Forest, the authors show that sensitivity to habitat loss is dependent on where a population is located within its range.",https://www.nature.com/articles/s41559-019-0889-z.pdf,nature.com,picumnus,2022-04-13,0,0,1,1,1,-4.765805895568675,,1080
2021-02-13,https://link.springer.com/article/10.1007/s10531-021-02124-8,Using indicator species to detect high quality habitats in ...,"Species demanding specific habitat requirements suffer, particularly under environmental changes. The smallest owl of Africa, the Sokoke Scops Owl (Otus ireneae), occurs exclusively in East African coastal forests. To understand the movement behaviour and habitat demands of O. ireneae, we combined data from radio-tracking and remote sensing to calculate Species Distribution Models across the ...",en,Using indicator species to detect high quality habitats in an East African forest biodiversity hotspot,"Species demanding specific habitat requirements suffer, particularly under environmental changes. The smallest owl of Africa, the Sokoke Scops Owl (Otus ireneae), occurs exclusively in East African coastal forests. To understand the movement behaviour and habitat demands of O. ireneae, we combined data from radio-tracking and remote sensing to calculate Species Distribution Models across the Arabuko Sokoke forest in southern Kenya. Based on these data, we estimated the local population size and projected the distribution of current suitable habitats. We found that the species occurs only in Cynometra woodland with large old trees and dense vegetation. Based on home range sizes and the distribution of suitable forest habitats, the local population size was estimated at < 400 pairs. Ongoing selective logging of hard-wood trees and the production of charcoal are reducing habitat quality of which will reduce the low numbers of O. ireneae, and of other specialist forest species, even further. Due to their close connection with intact Cynometra forest, O. ireneae is an excellent indicator of intact forest remnants. In addition, this species is a suitable flagship for the promotion and conservation of the last remaining coastal forests of East Africa.",https://link.springer.com/content/pdf/10.1007/s10531-021-02124-8.pdf,link.springer.com,mombasa,2022-04-09,0,0,1,1,1,-4.86225229324049,"['sokoke scops owl', 'otus ireneae']",431
2021-03-20,https://link.springer.com/article/10.1007/s10531-021-02164-0,Assessing woodpeckers as indicators of bird diversity and ...,"this region is home to eight species of picids, namely the brown-fronted woodpecker ( dendrocoptes auriceps), himalayan woodpecker ( dendrocopos himalayensis), greater yellownape ( chrysophlegma flavinucha ), lesser yellownape ( picus chlorolophus ), rufous-bellied woodpecker ( dendrocopos hyperythrus ), grey-headed woodpecker ( picus canus ), …",en,Assessing woodpeckers as indicators of bird diversity and habitat structure in managed forests,"Woodpeckers (family Picidae) are a specialised group of insectivores that are sensitive to forest degradation and fragmentation. We evaluated the woodpecker taxa as potential indicators of habitat quality and forest bird diversity in temperate moist hardwood forests (1500–2400 m asl), a threatened biome in the Western Himalaya. 74 forest sites, selected to represent a gradient of anthropogenic use, were surveyed for birds, vegetation structure and proportion of land under dense forest in the surrounding landscape. Individual woodpecker species were observed to quantify their foraging niche preferences. We found that forest sites with higher woodpecker richness were also rich in all other bird species. Further, the richness and abundance of woodpeckers and all other birds were affected by similar habitat variables. Four out of the eight woodpecker species occurring in the study area were found to fit our habitat models suitably, with canopy cover, tree density, and forest proportion proving to be important variables. Behavioural observations showed that the same four woodpecker species significantly preferred larger and taller trees for foraging. Given the difficulty of directly monitoring forest characteristics and total bird diversity over large landscapes, consistent monitoring of sensitive woodpecker species can provide answers to both. Further, as woodpeckers are moderately common and conspicuous birds, areas with high woodpecker diversity can be easily identified and prioritised for conservation.",https://link.springer.com/content/pdf/10.1007/s10531-021-02164-0.pdf,link.springer.com,piculet,2022-04-05,0,0,1,1,1,-4.95734857551826,,396
2021-12-17,https://avianres.biomedcentral.com/articles/10.1186/s40657-021-00307-z,"Migration routes, population status and important sites ...","The Black-faced Spoonbill ( Platalea minor) is a globally threatened waterbird, which breeds mainly on the west coast of the Korean Peninsula (Kang et al. 2016 ), with small numbers breeding in Liaoning Province, China (Ding et al. 2000) and Far East Russia (Shibaev 2010 ).",en,"Migration routes, population status and important sites used by the globally threatened Black-faced Spoonbill (Platalea minor): a synthesis of surveys and tracking studies","The Black-faced Spoonbill (Platalea minor) is a globally threatened species, nesting mainly in western Korea with smaller numbers breeding in Liaoning Province, China, and Far East Russia. Recent winter field surveys to estimate the species’ population size were almost totally conducted in coastal areas, but tracking studies showed that some individuals now winter inland. To ensure its long-term survival, we need a more comprehensive assessment of the current distribution and abundance of the species. We combined the most recent count data and satellite tracking information to update existing information about the population abundance and distribution of the Black-faced Spoonbill at all stages of its annual life cycle, and how these have changed during 2004–2020. Black-faced Spoonbills mainly breed on the west coast of the Korean peninsula, while immature birds show a wider summer distribution throughout Yellow Sea coastal areas, when a few remain on wintering sites in the south. Combined tracking results and mid-winter counts confirmed known wintering sites on the east and south coasts of China, but showed that the species also winters on wetlands in the Yangtze River floodplain and in Southeast Asia. During 2004–2020, counts of wintering birds in coastal habitats increased from 1198 to 4864, with numbers wintering on the island of Taiwan contributing most to the overall increase. Latest counts found 5222 in 2021. We also identify key wintering and stopover sites as well as their current conservation status. This study revised the known summering and wintering ranges of the Black-faced Spoonbill and assessed the conservation status of key sites based on a combination of field survey and satellite tracking data. We recommend prioritisation of further field research to identify and survey inland wintering areas in the Yangtze River floodplain and summering areas of immature birds. More tracking of adult individuals and birds during spring migration is necessary to fill these information gaps. We also suggest establishing a Black-faced Spoonbill monitoring platform to store, share and show real-time distribution range and population abundance data.",https://avianres.biomedcentral.com/track/pdf/10.1186/s40657-021-00307-z,avianres.biomedcentral.com,spoonbill,2022-04-08,0,0,1,1,1,-4.99494387622207,"['platalea minor', 'spoonbill']",124
2020-11-06,https://www.nature.com/articles/s41467-020-19455-9,Historical and projected future ... - Nature Communications,"Here the authors simulate global vegetation cover and scenarios of anthropogenic land cover change to estimate habitat range sizes of thousands of mammal, bird, and amphibian species since 1700 ...",en,"Historical and projected future range sizes of the world’s mammals, birds, and amphibians","Species’ vulnerability to extinction is strongly impacted by their geographical range size. Formulating effective conservation strategies therefore requires a better understanding of how the ranges of the world’s species have changed in the past, and how they will change under alternative future scenarios. Here, we use reconstructions of global land use and biomes since 1700, and 16 possible climatic and socio-economic scenarios until the year 2100, to map the habitat ranges of 16,919 mammal, bird, and amphibian species through time. We estimate that species have lost an average of 18% of their natural habitat range sizes thus far, and may lose up to 23% by 2100. Our data reveal that range losses have been increasing disproportionately in relation to the area of destroyed habitat, driven by a long-term increase of land use in tropical biodiversity hotspots. The outcomes of different future climate and land use trajectories for global habitat ranges vary drastically, providing important quantitative evidence for conservation planners and policy makers of the costs and benefits of alternative pathways for the future of global biodiversity. Long-term dynamics of species’ range sizes play a crucial role in determining extinction risks. Here the authors simulate global vegetation cover and scenarios of anthropogenic land cover change to estimate habitat range sizes of thousands of mammal, bird, and amphibian species since 1700, and project trajectories up to 2100 under four emission scenarios and five socio-economic pathways.",https://www.nature.com/articles/s41467-020-19455-9.pdf,nature.com,chaplin,2022-04-05,0,0,1,1,1,-5.03117886453811,,530
2022-04-06,https://link.springer.com/chapter/10.1007/124_2022_58,"Global Forest Biodiversity: Current State, Trends, and ...","The Amazon, southeastern Brazil and Central Africa together house about 50% of all vertebrate species. Almost 70% of all bird species (6,900 out of >10,000) occur in forests (Unwin 2012). Of the 6,093 tropical bird species, 53% are forest specialists and are therefore bound to forests (Sekercioglu 2012).",en,"Global Forest Biodiversity: Current State, Trends, and Threats","Human activities, especially forest conversion and degradation, are causing global declines in forest biodiversity. This review quantifies the current extent of the major forest biomes on earth and their area losses in historical and recent time. The importance of...",https://link.springer.com/content/pdf/10.1007/124_2022_58.pdf,link.springer.com,go-away-bird,2022-04-09,0,0,1,1,1,-5.04576004679022,,14
2020-03-19,https://www.nature.com/articles/s41598-020-61956-6,Vulnerability to predation may affect species distribution ...,The American Golden Plover and the Common Ringed Plover are both common breeding shorebird species within the study area 27.,en,Vulnerability to predation may affect species distribution: plovers with broader arctic breeding range nest in safer habitat,"Lower vulnerability to predation should increase the capacity of prey populations to maintain positive population growth rate in regions characterized by high predation pressure. Some arctic-nesting shorebirds nest almost exclusively in areas where predation pressure is regularly released. The few species that can breed within the entire distribution range of the Arctic Fox, the main nest predator in the arctic tundra, are supposedly less sensitive to predation. However, empirical data supporting this hypothesis are scarce and mechanisms driving interspecific variation in vulnerability to nest predation are poorly documented. We monitored nest success of two arctic-nesting shorebirds with contrasting breeding distribution and nesting habitat. We found that (i) when co-existing at the same breeding site, the widely distributed Ringed Plovers nesting along stony shores showed a higher nest survival rate than the Golden Plovers nesting in mesic tundra, and (ii) such differences in nest survival were at least partly driven by the nesting habitat type per se, with lower predation risk in stony shores than in adjacent mesic tundra. We suggest that the use of safer nesting habitat by some shorebird species can contribute to maintaining viable breeding populations over a broader distribution range.",https://www.nature.com/articles/s41598-020-61956-6.pdf,nature.com,quail-plover,2022-04-13,0,0,1,1,1,-5.05374973648353,,762
2021-05-10,https://link.springer.com/article/10.1007/s10531-021-02190-y,Bird communities in a degraded forest biodiversity hotspot ...,"Previous studies on bird species community structures in Taita Hills forest fragments underline that the abundance of bird species with a broad variety of food demands (insectivores, frugivores, nectarivores) are frequently rare in fragments with low habitat quality, while omnivore bird species remained stable across all forest fragments, irrespective of the degree of habitat quality (Ulrich ...",en,Bird communities in a degraded forest biodiversity hotspot of East Africa,"Tropical forests suffer severe habitat destruction. Thus, tropical forests frequently consist today of only a few small remnants that are often embedded within a matrix of agricultural fields and tree plantations. Forest specialist species have experienced severe population declines under these circumstances. We studied bird communities based on census plots set up in a near-natural forest block, as well as degraded forest patches, tree plantations, and agricultural fields, across the Taita Hills in southern Kenya. We classified each bird species according its ecology and behavior. We quantified the land cover and landscape configuration around each census plot. Typical forest species were mainly observed in the near-natural forest block, and to a lower extent in degraded forest patches. Plantations were almost devoid of birds. Bird communities of small forest fragments were more similar to that of agricultural land than the near-natural forest block. Most frugivorous, insectivorous and nectarivorous birds occurred in forest habitats, while granivorous bird species dominated the bird communities of agricultural land. The surrounding landscape had a marginal impact on bird species composition at local sites. Our study showed that the preservation of near-natural cloud forest, including small forest patches, is essential for the conservation of forest-dependent species, and that plantations do not serve as surrogate habitats.",https://link.springer.com/content/pdf/10.1007/s10531-021-02190-y.pdf,link.springer.com,taita,2022-04-08,0,0,1,1,1,-5.06343648414786,,345
2022-03-01,https://www.cambridge.org/core/journals/environmental-conservation/article/roadsides-are-key-habitats-for-birds-in-the-argentine-pampas-conservation-and-management-implications/15F50A5D4C40A86E873474B3D92A2A51,Roadsides are key habitats for birds in the Argentine ...,Relative abundances of declining bird species and species of conservation concern in roadsides of the Argentine Pampas across seasons. Population trend was obtained from the International Union for Conservation of Nature (IUCN) Red List of Threatened Species (IUCN-RLTS 2021 ) and local conservation status was obtained from Ministerio de Ambiente y Desarrollo Sustentable (MADS 2017 ).,en,Roadsides are key habitats for birds in the Argentine Pampas: conservation and management implications,"Unexploited public areas such as roadsides could provide habitat to help preserve biodiversity in South America, as in other regions. Our objective was to determine the importance of the roadsides of the Argentine Pampas for native birds and to suggest management strategies. We surveyed birds inhabiting roadsides in all seasons and determined whether roadsides were used as habitat. We recorded a total of 95 species on roadsides, which represents 55% of those species described from the area. Species included specialists of grassland, wetland and woodland, 4 vulnerable species and 19 declining species. Bird richness decreased in winter, as well as grassland specialists’ abundances. Most individuals used roadsides for foraging and performing reproduction-related behaviours, mainly on native trees; these and tall grass were the main substrates. We conclude that many species of birds use the habitat provided by roadsides, and we recommend management strategies such as favouring seed availability in winter, restoring trees and tall grass and increasing vegetation diversity to maximize roadside conservation value.",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/15F50A5D4C40A86E873474B3D92A2A51/S0376892921000424a.pdf/div-class-title-roadsides-are-key-habitats-for-birds-in-the-argentine-pampas-conservation-and-management-implications-div.pdf,cambridge.org,pampa-finch,2022-04-11,0,0,1,1,1,-5.10039182810089,,50
